"used","BCP 47","Writing system (ISO 15924 codes)","Writing system name (English)","ZomboDB analyzer","Language name (and writing system) in English","Directionality","Local language name","Romanized language name","English Wikipedia article","Local Wikipedia article","Comment","TODO USE THIS:","https://github.com/unicode-org/cldr-json/blob/master/cldr-json/cldr-localenames-modern/main/nl/languages.json"
,"sh",,,,"Serbo-Croatian","ltr","Српскохрватски","Srpskohrvatski","en:Serbo-Croatian language",,,,
,"si","Sinh","Sinhala script",,"Sinhalese","ltr","සිංහල",,"en:Sinhalese language",,,,
,"sk",,,,"Slovak","ltr","Slovenčina",,"en:Slovak language","sk:Slovenčina",,,
,"sl",,,,"Slovenian","ltr","Slovenščina",,"en:Slovenian language","sl:Slovenščina",,,
,"sm",,,,"Samoan","ltr","Gagana Samoa",,"en:Samoan language",,,,
,"sn",,,,"Shona","ltr","chiShona",,"en:Shona language",,,,
"y","so","Latn","Latin",,"Somalia","ltr","Soomaaliga",,"en:Somali language",,,,
"y","sq","Latn","Latin",,"Albanian","ltr","Shqip",,"en:Albanian language",,,,
,"sr",,,,"Serbian","ltr","Српски",,"en:Serbian language","sr:Српски језик",,,
,"ss",,,,"Swati","ltr","SiSwati",,"en:Swati language",,,,
,"st",,,,"Southern Sotho","ltr","Sesotho",,"en:Sesotho language",,,,
,"su",,,,"Sundanese","ltr","Basa Sunda",,"en:Sundanese language",,,,
"y","sv","Latn","Latin","swedish","Swedish","ltr","Svenska",,"en:Swedish language","sv:Svenska",,,
,"sw","Latn","Latin",,"Swahili","ltr","Kiswahili",,"en:Swahili language",,,,
"y","ta","Taml","Tamil",,"Tamil","ltr","தமிழ்",,"en:Tamil language",,,,
,"te","Telu","Telugu",,"Telugu","ltr","తెలుగు",,"en:Telugu language",,,,
,"tet",,,,"Tetum","ltr","Tetun",,"en:Tetum language",,,,
"y","tg","Cyrl","Cyrillic",,"Tajik","ltr","Тоҷикӣ",,"en:Tajik language",,,,
"y","th","Thai","Thai","thai","Thai","ltr","ไทย","Phasa Thai","en:Thai language",,,,
,"ti","Ethi","Ethiopic (Geʻez)",,"Tigrinya","ltr","ትግርኛ",,"en:Tigrinya language",,,,
,"tk",,,,"Turkmen","ltr","Туркмен / تركمن",,"en:Turkmen language",,,,
,"tl",,,,"Tagalog","ltr","Tagalog",,"en:Tagalog language",,,,
,"tlh",,,,"Klingon","ltr","tlhIngan-Hol",,"en:Klingon language",,,,
,"tn",,,,"Tswana","ltr","Setswana",,"en:Tswana language",,,,
,"to",,,,"Tonga","ltr","Lea Faka-Tonga",,"en:Tongan language",,,,
,"tpi",,,,"Tok Pisin","ltr","Tok Pisin",,"en:Tok Pisin language",,,,
"y","tr","Latn","Latin","turkish","Turkish","ltr","Türkçe",,"en:Turkish language",,,,
,"ts",,,,"Tsonga","ltr","Xitsonga",,"en:Tsonga language",,,,
"y","tt","Cyrl","Cyrillic",,"Tatar","ltr","Tatarça",,"en:Tatar language",,,,
